"Src","Eqid","Version","Datetime","Lat","Lon","Magnitude","Depth","NST","Region"
"121","pr","13311000","0","Thursday, November  7, 2013 00:33:58 UTC",19.0785,-64.7369,2.8,60,6,"Virgin Islands region"
"122","ci","11388450","2","Thursday, November  7, 2013 00:30:23 UTC",35.0293,-117.6743,1.4,0.1,19,"Southern California"
"123","nc","72102451","1","Thursday, November  7, 2013 00:23:13 UTC",38.8128,-122.8203,1.8,3.2,39,"Northern California"
"124","nc","72102436","1","Thursday, November  7, 2013 00:14:34 UTC",37.3022,-121.6787,2.2,6.1,52,"Northern California"
"125","nc","72102411","0","Wednesday, November  6, 2013 23:58:47 UTC",38.8135,-122.8137,1.1,3.3,21,"Northern California"
"126","nm","110713b","A","Wednesday, November  6, 2013 23:19:47 UTC",36.1183,-89.4552,1.5,14.2,17,"Tennessee"
"127","ak","10840266","1","Wednesday, November  6, 2013 22:52:44 UTC",59.7597,-151.4466,1.4,48.5,8,"Kenai Peninsula, Alaska"
"128","nc","72102396","0","Wednesday, November  6, 2013 22:40:18 UTC",36.5417,-121.1312,1.2,7,9,"Central California"
"129","ak","10840252","1","Wednesday, November  6, 2013 22:18:34 UTC",63.4824,-146.653,1.5,7.5,9,"Central Alaska"
"130","ak","10840242","1","Wednesday, November  6, 2013 22:08:37 UTC",63.9432,-148.6111,1.3,11,7,"Central Alaska"
"131","uw","60625701","1","Wednesday, November  6, 2013 22:08:33 UTC",49.3102,-120.4838,2.4,0,9,"British Columbia, Canada"
"132","nc","72102346","0","Wednesday, November  6, 2013 20:57:36 UTC",37.3217,-122.112,2.2,0,8,"San Francisco Bay area, California"
"133","nn","00428558","1","Wednesday, November  6, 2013 20:09:46 UTC",38.3524,-118.6994,2.3,10.2,22,"Nevada"
"134","uw","60624422","1","Wednesday, November  6, 2013 19:36:43 UTC",43.5735,-123.2617,1.4,0,11,"Oregon"
"135","uw","60624402","1","Wednesday, November  6, 2013 19:11:49 UTC",46.4565,-117.9307,1.9,26.2,14,"Washington"
"136","ak","10840023","1","Wednesday, November  6, 2013 19:08:09 UTC",63.4926,-146.6853,1.7,0.1,19,"Central Alaska"
"137","ci","11388394","2","Wednesday, November  6, 2013 19:05:23 UTC",33.7907,-116.9497,1.3,19.7,29,"Southern California"
"138","ak","10840010","2","Wednesday, November  6, 2013 19:01:19 UTC",61.4636,-152.0908,3.1,111.6,72,"Southern Alaska"
"139","ak","10839997","1","Wednesday, November  6, 2013 18:39:25 UTC",62.7007,-150.7153,2.2,72,41,"Central Alaska"
"140","nc","72102301","1","Wednesday, November  6, 2013 18:25:44 UTC",38.838,-122.8385,1.5,2.4,28,"Northern California"
"141","pr","13310007","0","Wednesday, November  6, 2013 17:59:57 UTC",18.996,-67.1993,2.9,6,8,"Puerto Rico region"
"142","ak","10839983","1","Wednesday, November  6, 2013 17:57:29 UTC",56.9359,-155.7355,2.9,65.9,18,"Alaska Peninsula"
"143","ak","10839973","1","Wednesday, November  6, 2013 17:44:16 UTC",63.898,-150.7534,1.8,2.7,14,"Central Alaska"
"144","ci","11388386","6","Wednesday, November  6, 2013 17:42:22 UTC",33.8588,-118.2748,2.8,14.4,84,"Greater Los Angeles area, California"
"145","ak","10839968","1","Wednesday, November  6, 2013 17:22:03 UTC",60.1726,-152.1198,1.8,31.8,4,"Southern Alaska"
"146","ci","11388370","2","Wednesday, November  6, 2013 17:19:46 UTC",33.4345,-116.6747,1,11.4,28,"Southern California"
"147","ak","10839962","2","Wednesday, November  6, 2013 17:05:07 UTC",63.0561,-150.9063,1.3,122.6,8,"Central Alaska"
"148","ak","10839959","1","Wednesday, November  6, 2013 16:57:50 UTC",60.2763,-147.1861,1.6,0,7,"Southern Alaska"
"149","ci","11388354","2","Wednesday, November  6, 2013 16:50:36 UTC",34.0438,-116.9075,1.5,19.6,30,"Southern California"
"150","nc","72102251","0","Wednesday, November  6, 2013 16:27:22 UTC",38.8122,-122.814,1.1,3,18,"Northern California"
"151","nc","72102241","0","Wednesday, November  6, 2013 16:22:17 UTC",36.5637,-121.1593,1.5,7.9,8,"Central California"
"152","hv","60587851","2","Wednesday, November  6, 2013 15:42:08 UTC",19.3873,-155.2815,1.9,2.5,46,"Island of Hawaii, Hawaii"
