Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
"This USGS data file has been deprecated. To continue receiving updates for earthquake information you must switch to the new data format [http://earthquake.usgs.gov/earthquakes/feed/]. In the future, data feeds will be updated and deprecated following our official deprecation policy [http://earthquake.usgs.gov/earthquakes/feed/policy.php]."
pr,13309011,0,"Tuesday, November  5, 2013 17:58:33 UTC",18.3631,-64.1429,2.9,69.00, 8,"Virgin Islands region"
nc,72101646,0,"Tuesday, November  5, 2013 17:50:39 UTC",38.8100,-122.8100,1.3,2.20,16,"Northern California"
nc,72101641,0,"Tuesday, November  5, 2013 17:42:13 UTC",38.8002,-122.8092,1.4,3.10,18,"Northern California"
ak,10838023,2,"Tuesday, November  5, 2013 17:34:03 UTC",61.2270,-147.5867,1.5,0.00, 9,"Southern Alaska"
ak,10838015,2,"Tuesday, November  5, 2013 17:17:45 UTC",61.0347,-141.4073,1.5,8.50,19,"Southern Alaska"
pr,13309014,0,"Tuesday, November  5, 2013 17:13:15 UTC",18.5119,-64.0866,2.4,45.00, 5,"Virgin Islands region"
nc,72101606,0,"Tuesday, November  5, 2013 16:35:59 UTC",35.7515,-121.2250,1.3,14.80, 8,"Central California"
ak,10840942,2,"Tuesday, November  5, 2013 16:28:29 UTC",62.5018,-151.6583,1.6,91.20,15,"Central Alaska"
nc,72101601,0,"Tuesday, November  5, 2013 16:25:06 UTC",37.4098,-118.6027,1.5,11.20,13,"Central California"
nc,72101596,0,"Tuesday, November  5, 2013 16:24:00 UTC",37.4100,-118.6030,1.6,11.20,11,"Central California"
ak,10840941,2,"Tuesday, November  5, 2013 16:23:05 UTC",58.7330,-154.8124,2.3,127.90,25,"Alaska Peninsula"
nc,72101591,0,"Tuesday, November  5, 2013 16:21:36 UTC",36.5742,-121.1608,1.6,10.90,11,"Central California"
ak,10837989,2,"Tuesday, November  5, 2013 16:10:20 UTC",62.3334,-151.1640,2.4,88.90,57,"Central Alaska"
nc,72101586,0,"Tuesday, November  5, 2013 16:09:00 UTC",36.5668,-121.1710,1.6,0.10,14,"Central California"
ci,11387930,4,"Tuesday, November  5, 2013 15:57:58 UTC",33.0313,-116.4220,1.3,5.20,32,"Southern California"
ak,10837980,2,"Tuesday, November  5, 2013 15:36:48 UTC",63.3550,-151.1853,1.3,13.00,16,"Central Alaska"
ak,10840938,2,"Tuesday, November  5, 2013 15:35:35 UTC",62.5000,-150.9669,1.5,87.40,19,"Central Alaska"
ak,10837967,2,"Tuesday, November  5, 2013 15:17:11 UTC",61.4468,-150.6141,1.5,42.90,28,"Southern Alaska"
